category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
O,16,rock_climbing_7,rock_climbing,rock climbing gym,https://www.tiktok.com/@satoshistrength/video/7498867018620357910?q=rock%20climbing%20gym%20man&t=1754239870947,15.334,15334,satoshistrength,rock_climbing_7_satoshistrength,stimuli/tiktok_stim_veryfast_social/rock_climbing/rock_climbing_7_satoshistrength.mp4,long
O,16,rock_climbing_8,rock_climbing,indoor rock climbing,https://www.tiktok.com/@henry_lovegrove/video/7460534046108503328?q=indoor%20rock%20climbing&t=1752944734245,14.568,14568,henry_lovegrove,rock_climbing_8_henry_lovegrove,stimuli/tiktok_stim_veryfast_social/rock_climbing/rock_climbing_8_henry_lovegrove.mp4,long
O,16,rock_climbing_9,rock_climbing,indoor rock climbing,https://www.tiktok.com/@alex.snyder37/video/7524424173809143095?q=indoor%20rock%20climbing&t=1752944734245,23.474,23474,alex.snyder37,rock_climbing_9_alex.snyder37,stimuli/tiktok_stim_veryfast_social/rock_climbing/rock_climbing_9_alex.snyder37.mp4,long
P,17,kitchen_renovations_1,kitchen_renovations,home renovations before after,https://www.tiktok.com/@tanyacorinne/video/7476850395197754667?q=home%20renovations%20before%20after&t=1749829672456,18.412,18412,tanyacorinne,kitchen_renovations_1_tanyacorinne,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_1_tanyacorinne.mp4,short
P,17,kitchen_renovations_10,kitchen_renovations,kitchen transformation before after,https://www.tiktok.com/@themarshhfamily/video/7400117411996994862?q=kitchen%20transformation%20before%20after&t=1752948741618,15.069,15069,themarshhfamily,kitchen_renovations_10_themarshhfamily,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_10_themarshhfamily.mp4,short
P,17,kitchen_renovations_11,kitchen_renovations,kitchen transformation before after,https://www.tiktok.com/@mydiycasa/video/7216158637495094574?q=kitchen%20transformation%20before%20after&t=1752948741618,21.478,21478,mydiycasa,kitchen_renovations_11_mydiycasa,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_11_mydiycasa.mp4,short
P,17,kitchen_renovations_12,kitchen_renovations,kitchen transformation before after,https://www.tiktok.com/@amyitsme/video/7479110716323073311?q=kitchen%20transformation%20before%20after&t=1752948741618,16.183,16183,amyitsme,kitchen_renovations_12_amyitsme,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_12_amyitsme.mp4,short
P,17,kitchen_renovations_2,kitchen_renovations,kitchen before/after,https://www.tiktok.com/@jensgatheringnest/video/7397434665574960414?q=kitchen%20before%2Fafter&t=1752945909258,15.603,15603,jensgatheringnest,kitchen_renovations_2_jensgatheringnest,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_2_jensgatheringnest.mp4,short
P,17,kitchen_renovations_3,kitchen_renovations,home renovations before after,https://www.tiktok.com/@renovatinglindes/video/7451305744583920902?q=home%20renovations%20before%20after&t=1749829672456,19.248,19248,renovatinglindes,kitchen_renovations_3_renovatinglindes,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_3_renovatinglindes.mp4,short
P,17,kitchen_renovations_4,kitchen_renovations,kitchen transformation,https://www.tiktok.com/@abbie_stone/video/7433091380185943338?q=kitchen%20before%2Fafter&t=1752945909258,17.275,17275,abbie_stone,kitchen_renovations_4_abbie_stone,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_4_abbie_stone.mp4,short
P,17,kitchen_renovations_5,kitchen_renovations,kitchen transformation,https://www.tiktok.com/@bethanycarmichael_/video/7179415563666574598?q=kitchen%20transformation&t=1752946527679,12.933,12933,bethanycarmichael_,kitchen_renovations_5_bethanycarmichael_,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_5_bethanycarmichael_.mp4,short
P,17,kitchen_renovations_6,kitchen_renovations,kitchen before after,https://www.tiktok.com/@vanessajfrancis/video/7306548958157999365?q=kitchen%20before%20after&t=1752947026550,13.699,13699,vanessajfrancis,kitchen_renovations_6_vanessajfrancis,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_6_vanessajfrancis.mp4,short
P,17,kitchen_renovations_7,kitchen_renovations,kitchen before after,https://www.tiktok.com/@themichiganbroker/video/7331000522616491310?q=kitchen%20before%20after&t=1752947026550,18.807,18807,themichiganbroker,kitchen_renovations_7_themichiganbroker,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_7_themichiganbroker.mp4,short
P,17,kitchen_renovations_8,kitchen_renovations,kitchen before after,https://www.tiktok.com/@thesurreyrenovation/video/7475084702446046486?q=kitchen%20before%20after&t=1752947026550,15.603,15603,thesurreyrenovation,kitchen_renovations_8_thesurreyrenovation,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_8_thesurreyrenovation.mp4,short
P,17,kitchen_renovations_9,kitchen_renovations,kitchen reveal,https://www.tiktok.com/@staging_spaces/video/7487706404900425015?q=kitchen%20reveal&t=1752948083472,19.341,19341,staging_spaces,kitchen_renovations_9_staging_spaces,stimuli/tiktok_stim_veryfast_social/kitchen_renovations/kitchen_renovations_9_staging_spaces.mp4,short
R,18,ai_recreation_1,ai_recreation,asking ai to show me ancient civilization,https://www.tiktok.com/@ancientvisionsai/video/7440205130512846113?q=asking%20ai%20to%20show%20me%20empire&t=1757262955788,18.598,18598,ancientvisionsai,ai_recreation_1_ancientvisionsai,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/ai_recreation_1_ancientvisionsai.mp4,demo
S,19,plants_1,plants,houseplant tour,https://www.tiktok.com/@thehappysprig/video/7521782021924867383?q=houseplant%20tour&t=1754690642602,20.131,20131,thehappysprig,plants_1_thehappysprig,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/plants_1_thehappysprig.mp4,demo
T,20,forging_1,forging,hand forging,https://www.tiktok.com/@blacksmithingmaster/video/7501143969456295210,13.885,13885,blacksmithingmaster,forging_1_blacksmithingmaster,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/forging_1_blacksmithingmaster.mp4,demo
U,21,ootd_1,ootd,outfit of the day,https://www.tiktok.com/@lynnwisseh_/video/7513320230412651806?q=outfit%20of%20the%20day&t=1753029671133,14.471,14471,lynnwisseh_,ootd_1_lynnwisseh_,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/ootd_1_lynnwisseh_.mp4,demo
V,22,trapeze_1,trapeze,aerial trapeze,https://www.tiktok.com/@hopechulka/video/7564210155496213815?q=aerial%20trapeze&t=1762124551264,15.7,15700,hopechulka,trapeze_1_hopechulka,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/trapeze_1_hopechulka.mp4,demo
W,23,squegee_1,squeegee,window squeegee,https://www.tiktok.com/@zaynethewindowguy/video/7506915668898467114?q=window%20squeegee&t=1762128880567 ,23.265,23265,zaynethewindowguy,squeegee_1_zaynethewindowguy,stimuli/tiktok_stim_veryfast_social/demos/first_demo_stim/squeegee_1_zaynethewindowguy.mp4,demo
X,24,hydrodip_1,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@sbub20/video/6907661047742614790?q=hydro%20dipping%20tumbler&t=1754761178749,11.864,11864,sbub20,hydrodip_1_sbub20,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_1_sbub20.mp4,demo
